,date,comment,rate,resturant name,preprocessed comment
1679,2023-09-06,ساندویچ عالی بود، ممنون,۵,فست فود لونالانژ,ساندویچ عالی ممنون
1680,2023-09-18,مثل همیشه عالی بود و راضی بودم.سپاس,۵,فست فود لونالانژ,عالی راضی بود#باش سپاس
1681,2023-09-18,به جرات میتونم بگم اولین باره از بیرون غذا سفارش دادم و تا این حد راضی بودم منی که به شدت سخت پسندم میتونم بگم بهترین پیتزا رو امروز خریدم همه چیز عالی عالی عالی بود از مزه و کیفیت و سرعت اماده سازی و...... همه عالیییی قطعا انتخاب همیشگی من این رستوران خواهد بود,۵,فست فود لونالانژ,جر میتونم بگم غذا سفارش داد#ده راضی بود#باش منی شدت سخت پسندید#پسند میتونم بگم پیتزا امروز خرید#خر عالی عالی عالی مزه کیفیت سرعت اماده عالی قطعا انتخاب همیشگی رستوران خواهدبود
1682,2023-10-06,خیلی خیلی عالی بود ، فقط پیتزا  نازک بود,۵,فست فود لونالانژ,عالی پیتزا نازک
1683,2023-08-14,مثل همیشه عالی و خوش مزه,۵,فست فود لونالانژ,عالی خوشمزه
1684,2023-09-15,پیتزا و نون سیر فوق العاده عالی بود,۵,فست فود لونالانژ,پیتزا نون سیر فوقالعاده عالی
1685,2023-09-04,"سلام اولین سفارش من بود که پیتزا کاملا سرد بود
پپرونی روی پیتزا اصلا مزه نداشت(درصورتی که پپرونی باید تند باشه)",not rated,فست فود لونالانژ,سلام سفارش پیتزا سرد پپرونی پیتزا اصلا مزه داشت#دار درصورتی پپرونی تند باشه
1686,2023-09-21,مثله همیشه عالی,۵,فست فود لونالانژ,مثله عالی
1687,2023-09-19,کیفیت و کمیت هر دو عالی,۵,فست فود لونالانژ,کیفیت کمیت عالی
1688,2023-10-04,عالی,۵,فست فود لونالانژ,عالی
1689,2023-09-23,"ما که راضی بودیم
انصافا کیفیتش خوب بود",۵,فست فود لونالانژ,راضی بود#باش انصافا کیفیت خوب
1690,2023-09-11,خیلی خوشمزه بود ممنون,۵,فست فود لونالانژ,خوشمزه ممنون
1691,2023-09-16,"سلام.
غذا داغ وبه موقع دستمون رسید.ممنون",۵,فست فود لونالانژ,سلام غذا داغ وبه موقع دستمون ممنون
1692,2023-10-13,خوب بود ولی توصیه میشود مقدار کمتری نمک بزنید و قیمت در مقایسه با گذشته و سایر فروشندگان قیمت افزایش یافته است,۵,فست فود لونالانژ,خوب توصیه میشود مقدار کمتر نمک زد#زن قیمت مقایسه گذشته فروشندگان قیمت افزایشیافته
1693,2023-09-16,عالی,۵,فست فود لونالانژ,عالی
1694,2023-10-10,ایم اولین تجربه خریدم بود و خیلییی راضی بودم..خوشمزه ترین پیتزایی بود که خورده بودم,۵,فست فود لونالانژ,ایم تجربه خرید#خر راضی بود#باش خوشمزه پیتزا خوردهبودم
1695,2023-08-20,خوشمزه بود اما خیلی چرب بود,۳,فست فود لونالانژ,خوشمزه چرب
1696,2023-08-10,عالی و با کیفیت,۵,فست فود لونالانژ,عالی کیفیت
1697,2023-09-09,واقعاً خوشمزه بود دستتون درد نکنه,۵,فست فود لونالانژ,واقعا خوشمزه دستتون درد نکنه
1698,2023-08-09,"کیفیت غذا و طعم اون عالی بود
بسته بندی عالی",۵,فست فود لونالانژ,کیفیت غذا طعم اون عالی بسته عالی
1699,2023-09-11,جدا از تمام نقاط قوت من عااااشق پیتزای پیستا شما هستم فوق العاده‌است,۵,فست فود لونالانژ,جدا نقاط قوت عاشق پیتزا پیستا #هست العادهاست
1700,2023-09-05,عالیه عالی,۵,فست فود لونالانژ,عالیه عالی
1701,2023-08-19,ماژامبون مرغ وگوشت تنوری،سفارش دادیم عالی بود,۵,فست فود لونالانژ,ماژامبون مرغ وگوشت تنور سفارش داد#ده عالی
1702,2023-09-18,کیفیت عالی و فوق العاده بود مثل همیشه. خوشمزه و باکیفیت. به جرات میگم بهترین سوخاری سمنان رو از اینجا میگیرم. امیدوارم این کیفیت عالی همیشه حفظ بشه. داغ هم رسید. ممنون,۵,فست فود لونالانژ,کیفیت عالی فوقالعاده خوشمزه باکیفیت جر میگ سوخاری سمنان میگیرم امیدوار کیفیت عالی حفظ بشه داغ ممنون
1703,2023-08-04,پیتزا بی کیفیت بود دیگه هانت سفارش نمیدم,۲,فست فود لونالانژ,پیتزا بیکیفیت دیگه هان سفارش نمیدم
1704,2023-08-11,مثل همیشه عالی,۵,فست فود لونالانژ,عالی
1705,2022-08-16,سلام خسته نباشین از کیفیت و بسته بندی گرفته تا برخورد پیک همه چیز عالی بود,۵,فست فود لونالانژ,سلام خسته نباشین کیفیت بسته برخورد پیک عالی
1706,2022-05-21,مثل همیشه با کیفیت، فقط غذا کمی سرد بود,۵,فست فود لونالانژ,کیفیت غذا سرد
1707,2023-06-19,"پیتزا شور و روغنی بود
 از شدت شور بودن قابل خوردن نبود",۲,فست فود لونالانژ,پیتزا شور روغن شدت شور خوردن
1708,2022-06-10,مرغها بسیار نرم و خوشمزه بود و روغنی که سیب‌زمینی هاو قارچها و مرغها با آن درست شده بود قدیمی نبود که بو بدهد.... وزودتر از زمان معمول هم بمن رسید ممنون,۵,فست فود لونالانژ,مرغ نرم خوشمزه روغن سیبزمینی هاو قارچ مرغ درست شدهبود قدیم بو داد#ده وزودتر زمان معمول بمن ممنون
1709,2022-07-10,حجم و کیفیت غذا کم شده و تناسبی با قیمت‌ها نداره,۲,فست فود لونالانژ,حجم کیفیت غذا کم تناسب قیمت نداره
1710,2021-11-17,من فيله استريپس اسپايسى سفارش داده بودم ولى همراهش نان نبود و سيب زمينى هم خيلى سرد بود ,۴,فست فود لونالانژ,فیله استریپس اسپایسی سفارش دادهبودم همراه نان سیبزمینی سرد
1711,2023-04-10,با سلام ، اصلا ساندویچ پخته نشده بود ، ن ادویه داشت ، ن نمک,۲,فست فود لونالانژ,سلام اصلا ساندویچ پختهنشدهبود #هست ادویه #هست نمک
1712,2022-01-21,"پیتزا فوق العاده با کیفیت و لذید بود. بسته بندی هم عالی .
سپاس",۵,فست فود لونالانژ,پیتزا فوقالعاده کیفیت لذید بسته عالی سپاس
1713,2023-06-08,پیتزا خیلی روغنی بود پیتزای بعدی که از شما گرفتم هم روغنی و خیلی شوووور بود,۳,فست فود لونالانژ,پیتزا روغن پیتزا بعد گرفت#گیر روغن شور
1714,2022-06-26,گوشتش متاسفانه برای اولین بار خام بود، و بو میداد,۳,فست فود لونالانژ,گوشت خام بو میداد
1715,2022-03-06,خیلی خوش‌طعم و باکیفیت بود. سپاس,۵,فست فود لونالانژ,خوشطعم باکیفیت سپاس
1716,2022-01-03,طعم و کیفیت برگر عالی بود. سس سیر همراه غذا هم عالی بود‌. ,۵,فست فود لونالانژ,طعم کیفیت برگر عالی سس سیر همراه غذا عالی
1717,2022-07-19,خوب بود. ولی من ستفت ۲۳:۰۱ روز سه شنبه کاری سفارش ثبت کردم و ساعت ۰۰:۰۴ رسید دستم همبرگر زغالی.,۵,فست فود لونالانژ,خوب ستفت روز سهشنبه کاشت#کار سفارش ثبت ساعت دستم همبرگر زغال
1718,2023-06-13,مثل همیشه عالی بود .فقط جالب بود این بود که ما پیتزا ها رو گذاشتیم یکم سرد بشه بعد بخوریم .واقعا ممنون ازتون,۵,فست فود لونالانژ,عالی جالب پیتزا گذاشت#گذار یکم سرد بشه خورد#خور واقعا ممنون ازتون
1719,2023-06-06,خیلی خوب بود.همه چی با کیفیت و عالی.,۵,فست فود لونالانژ,خوب چی کیفیت عالی
1720,2023-07-25,دیگه هیچی مث قدیم خوشمزه نیست,۴,فست فود لونالانژ,دیگه هیچ مث قدیم خوشمزه
1721,2023-07-29,"عالی نسبت به حجم قیمتش عالی بود
و طعم عالی و کیفیت موادی که استفاده میکنن درجه یکه",۵,فست فود لونالانژ,عالی نسبت حجم قیمت عالی طعم عالی کیفیت مواد استفاده میکنن درجه یکه
1722,2022-04-13,پیتزا استیک عالی ترین پیتزائه مجموعه س,۵,فست فود لونالانژ,پیتزا استیک عالیترین پیتزائه مجموعه س
1723,2021-11-18,عالی بود، خوشمزه، به اندازه و سریع، خیلی ممنونم ,۵,فست فود لونالانژ,عالی خوشمزه اندازه سریع ممنون
1724,2021-11-02,بسیار عالی و خوشطعم بود و سریع و گرم رسید.برگر دستی ذغالی عالی بود. نان برگر هم نرم و تازه بود. سپاس از خدمات خوبتون,۵,فست فود لونالانژ,عالی خوشطعم سریع گرم برگر دست ذغالی عالی نان برگر نرم تازه سپاس خدمات خوبتون
1725,2022-07-14,عالی مثل همیششششه .,۵,فست فود لونالانژ,عالی
1726,2022-06-18,پیک که غذا رو میرسونن، خیلی بانزاکت و عالی هستن,۵,فست فود لونالانژ,پیک غذا میرسونن بانزاکت عالی هستن
1727,2022-01-17,"غذا کیفیت بالایی داشت و واقعا سفارشم اسپایسی بود، موردی که کمتر در رستوران ها رعایت میشه.
در کل همه چی عالی بود
سپاس",۵,فست فود لونالانژ,غذا کیفیت بالا واقعا سفارشم اسپایسی مورد کمتر رستوران رعایت میشه چی عالی سپاس
1728,2022-03-10,عالی بود,۵,فست فود لونالانژ,عالی
1729,2022-12-26,خیلی سریع به دستم رسید، خیلی خوش‌طعم و عالی بود.,۵,فست فود لونالانژ,سریع دستم خوشطعم عالی
1730,2022-07-14,بی‌ شک بهترینیداز همه نظر مخصوصا کیفیت درجه یک همیشگیتون .,۵,فست فود لونالانژ,بیشک بهترینیداز مخصوصا کیفیت درجه همیشگیتون
1731,2023-06-08,ساندویچ رست بیف واقعا عالییییی و خوشمزه بود و بسته بندی هم خیلی با کیفیت بود ممنون,۴,فست فود لونالانژ,ساندویچ رست#روی بیف واقعا عالی خوشمزه بسته کیفیت ممنون
1732,2022-01-17,خوشمزه بود,۵,فست فود لونالانژ,خوشمزه
1733,2023-04-30,پیک سریع بود,۵,فست فود لونالانژ,پیک سریع
1734,2023-06-21,کیفیتش عالی بود,۵,فست فود لونالانژ,کیفیت عالی
1735,2022-08-05,ممنون بابت کیفیت بالا که هیچوقت تغییر نمیکنه,۵,فست فود لونالانژ,ممنون بابت کیفیت بالا هیچوقت نمیکنه
1736,2023-04-11,خوشمزه بود. یه مقدار تند بود ولی در کل خوشمزه بود,۵,فست فود لونالانژ,خوشمزه یه مقدار تند خوشمزه
1737,2021-12-19,کیفیت خوبه ولی مبلغ بعد ۳ بار سفارش دادن افزایش پیدا کرد ...به مدت چند روز تغییر یافت ,۵,فست فود لونالانژ,کیفیت خوبه مبلغ سفارش افزایش روز
1738,2021-11-28,"بسیار خوش مزه
مقدارش مناسب
ارسال فوری
گرم
پیک خوش برخورد
در یک کلمه عالی",۵,فست فود لونالانژ,خوشمزه مقدار ارسال فوری گرم پیک خوشبرخورد کلمه عالی
1739,2021-11-26,"درود و ادب 
بسیار خوشمزه بود. با اینکه خیلی هم نزدیک منزل من نیستن ولی کاملا داغ بدستم رسید. و مثل همیشه پیکشون بسیار محترم بود. سپاس فراوان",not rated,فست فود لونالانژ,درود ادب خوشمزه منزل نیستن داغ بدستید#بدست پیکشون محترم سپاس فراوان
1740,2023-06-11,غذا گرم وعالی مثل همیشه,۵,فست فود لونالانژ,غذا گرم وعالی
1741,2022-02-08,نون هر دو تا سفارش خیلی خوب بود، مزه هر دو تا ساندویچ رو هم دوست داشتیم,۵,فست فود لونالانژ,نون سفارش خوب مزه ساندویچ دوست داشت#دار
1742,2022-03-12,عالی,۵,فست فود لونالانژ,عالی
1743,2022-03-06,عالی بود,۵,فست فود لونالانژ,عالی
1744,2021-11-26,همبرگر عالی بود,۵,فست فود لونالانژ,همبرگر عالی
1745,2021-11-25,غذا عالی ، پیک عالی، ارسال به موقع و گرم,۵,فست فود لونالانژ,غذا عالی پیک عالی ارسال موقع گرم
1746,2021-11-23,همه چیز عالی,۵,فست فود لونالانژ,عالی
1747,2022-03-29,"فقط امیدوارم یکم توجه و دقت بیشتر شه حتی برش پیتزا مهمه
واسه فست فودی ک میخاد عالی باشه
در کل خوبه ممنون ازتون",۵,فست فود لونالانژ,امیدوار یکم توجه دقت شه برش پیتزا مهمه واسه فست فودی ک میخاد عالی باشه خوبه ممنون ازتون
1748,2022-06-22,مثل همیشه عالی,۵,فست فود لونالانژ,عالی
1749,2022-07-13,مثل همیشه عالیییی درجه یک,۵,فست فود لونالانژ,عالی درجه
1750,2023-06-09,تشکر از زحماتتون شما حرف ندارید کیفیت بیست,۵,فست فود لونالانژ,تشکر زحماتتون حرف داشت#دار کیفیت بیست
1751,2021-11-10,"با درود و ادب 
اول یک سپاسگزاری به مدیریت و پرسنل خوب این رستوران که با خوشرویی تمام انتقاد بنده که همراه با کمی سوتفاهم هم بود رو مدنظر قرار دادند. مسلما این مشتری مداریشون خیلی ارزشمنده برام. دوم اینکه کیفیت بال سوخاری برای بار دوم هم بسیار خوب بود. استخوان ها کاملا پخته بود و قرمزی نداشت، در عین حال بال ها خشک و سوخته هم نبود! حجم سیب زمینی هم کاملا اندازه بود و به راحتی یک نفر خوش خوراک رو سیر میکنه. 
سپاس دوباره از پرسنل این رستوران و زودفود",not rated,فست فود لونالانژ,درود ادب سپاسگزاری مدیریت پرسنل خوب رستوران خوشرویی انتقاد بنده همراه سوتفاهم مدنظر قرار مسلما مشتری مداریشون ارزشمنده برام کیفیت بال سوخاری خوب استخوان پختهبود قرمزی داشت#دار بال خشک سوخته حجم سیبزمینی اندازه راحت نفر خوشخوراک سیر میکنه سپاس پرسنل رستوران زودفود
1752,2022-12-07,عالی ، خوشمزه ، جذاب و شکیل,۵,فست فود لونالانژ,عالی خوشمزه جذاب شکیل
1753,2023-05-03,خیلی عالی و خوشمزه بود، دفعه قبل هم پیتزا سوخاری سفارش داده بودم که واقعاً خوشمزه هست. هم سری ارسال شد و هم گرم بود و هم کیفیت عالی بود.,۵,فست فود لونالانژ,عالی خوشمزه دفعه پیتزا سوخاری سفارش دادهبودم واقعا خوشمزه هست سری ارسال گرم کیفیت عالی
1754,2023-06-30,"خیلی عالی و با کیفیت با بسته بندی مناسب و جذاب 
خیلی زودتر از موعد رسید و غذا سرد نشده بود در کل بسیار عالی",۵,فست فود لونالانژ,عالی کیفیت بسته جذاب زود موعد غذا سرد نشدهبود عالی
1755,2022-03-18,"سفارش اولم بود و بسیار راضی بودم.
فقط مقدار نمک سیب زمینی و فیله ها و همچنین سس ها زیاد بود",۵,فست فود لونالانژ,سفارش اول راضی بود#باش مقدار نمک سیبزمینی فیله سس زیاد
1756,2021-12-01,واقعا عالی بودن.برادرم بسیار خوشحال شد و از اینکه اهمیت دادن خیلی ممنونم.کمتر جایی پثل لونالانژ پیدا میشه رفقا,۵,فست فود لونالانژ,واقعا عالی برادر خوشحال اهمیت ممنون کمتر پثل لونالانژ میشه رفقا
1757,2023-06-11,مثل همیشه عالی بود,۵,فست فود لونالانژ,عالی
1758,2023-05-23,"همه چی عالی 
پیک عالی",۵,فست فود لونالانژ,چی عالی پیک عالی
1759,2022-07-31,کیفیت خوبی داشت و گرم بود. ممنون از شما,۴,فست فود لونالانژ,کیفیت گرم ممنون
1760,2023-07-26,با توجه به قیمت و نظرات فکر میکردم بهتر باشه مزه ی شوری داشت کمی. نمیدونم چرا با اینکه بار اولم بود توقعم از شما خیلی زیاد بود شاید چون خیلی تعریفتون رو شنیدم در کل عالی نبود ولی خوب بود مرسی,۴,فست فود لونالانژ,توجه قیمت نظرات میکردم باشه مزه شوری نمیدونم اول توقع زیاد تعریفتون شنید#شنو عالی خوب مرسی
1761,2022-12-15,بهترین از این نمیشه. همه جوره عالی بود واقعا ممنونم. خدمات و برخورد فدق العاده عالی شما باعث شد که از این به بعد همیشه از شما خربد کنم. با آرزوی بهترین ها,۵,فست فود لونالانژ,نمیشه جوره عالی واقعا ممنون خدمات برخورد فدق العاده عالی خربد آرزو بهترین
1762,2023-06-22,بسیار عالی بود.پیتزا پر مواد و داغ و با تازه بود . رفتار پیک موتوری بسیار عالی بود,۴,فست فود لونالانژ,عالی پیتزا مواد داغ تازه رفتار پیک موتور عالی
1763,2023-06-03,غذاها خوشمزه و لذیذ بود و کیفیت مواد عالی,۵,فست فود لونالانژ,غذا خوشمزه لذیذ کیفیت مواد عالی
1764,2022-03-02,همه چیز عالی بود,۵,فست فود لونالانژ,عالی
1765,2023-05-14,گوشت همبرگر بیش از اندازه پخته شده بود.تقریبا سوخته بود.کیفیت گوشت پایین بود.توش غضروف زیاد داشت که زیر ندون احساس میشد.طعم همبرگر ضعیف بود.برای اینکار میتونید گزینه ی سس باربیکیو رو به منوی سس هاتون اضافه کنید.,۳,فست فود لونالانژ,گوشت همبرگر اندازه پختهشده تقریبا سوختهبود کیفیت گوشت پایین تو غضروف زیاد ندون احساس میشد طعم همبرگر ضعیف اینکار میتونید گزینه سس باربیکیو منوی سس هاتون اضافه
1766,2023-06-06,خوشمزه بود,۴,فست فود لونالانژ,خوشمزه
1767,2021-11-04,غذا دير رسيد و طبيعتا سرد هم شده بود-كيفيتش هم نسبتا خوب بود,۳,فست فود لونالانژ,غذا دیر طبیعتا سرد بودکیفیتش نسبتا خوب
1768,2022-02-19,از هر لحاظ عالیه,۵,فست فود لونالانژ,عالیه
1769,2022-01-24,حجم عالی. کیفیت عالی. بسیار خوشمزه بود در حد استاندارد. بسته بندی مناسب. فیله ها خیلی خوب مزه دار شده بود و حجمش خیلی خوب بود. امیدوارم این کیفیت همیشه همینجوری بمونه و افت نکنه. ممنون ,۵,فست فود لونالانژ,حجم عالی کیفیت عالی خوشمزه استاندارد بسته فیله خوب مزه شدهبود حجم خوب امیدوار کیفیت همینجوری بمونه افت نکنه ممنون
1770,2022-03-06,طعم زیاد جالبی نداشتن، چه سالادش چه قارچ سوخاریش,۳,فست فود لونالانژ,طعم زیاد جالب نداشتن سالاد قارچ سوخاریش
1771,2023-06-07,به موقع و داغ رسید,۵,فست فود لونالانژ,موقع داغ
1772,2022-05-21,از هر نظر عالی بود,۵,فست فود لونالانژ,عالی
1773,2022-12-20,عالی بود,۵,فست فود لونالانژ,عالی
1774,2023-06-23,حلالتون باشه.راضیم ازت لونالانژ,۵,فست فود لونالانژ,حلالتون باشه راضیم ازت لونالانژ
1775,2022-05-21,انصافا ایرادی نمیشد روش گذاشت,۵,فست فود لونالانژ,انصافا ایراد نمیشد گذاشت#گذار
1776,2022-03-03,عالی واقعا,۵,فست فود لونالانژ,عالی واقعا
1777,2021-12-29,همه چی عالی,۵,فست فود لونالانژ,چی عالی
1778,2022-01-02,عالی بود,۵,فست فود لونالانژ,عالی
1779,2022-03-07,درمرحله اول باید بگم دفه اولم بود که از اینجا سفارش میدادم و واقعا راضی هستم! شما با مجموعه ای طرفین که برای مشتری ارزش قائل هست و این رو تو تک تک آیتم ها میشه دید. بسته بندی فوق‌العاده بود! زمان ارسال خیلی زودتر از وقت تعیین شده بود، محتوا هم بسیار خوب بود به نظرم. من فکر میکنم مدیریت این مجموعه بسیار حساب شده و با برنامه فعالیت دارن، درکل نوآوری شون تو بسته بندی رو تو سمنان ندیدم واقعا. ازشون تشکر میکنم و امیدوارم روند خوبشون رو همیشه ادامه بدن,۵,فست فود لونالانژ,درمرحله بگم دفه اول سفارش میدادم واقعا راضی #هست مجموع طرفین مشتری ارزش قائل هست تکتک آیتم میشه دید بسته فوقالعاده زمان ارسال زود وقت تعیینشده محتوا خوب نظر میکنم مدیریت مجموعه حسابشده برنامه فعالیت دارن درکل نوآور شون بسته سمنان دید#بین واقعا ازشون تشکر میکنم امیدوار خوبشون ادامه بدن
1780,2021-12-29,عالی بود خیلی غذا لذیذ بود ی سس برام فرستادید خیلیییی خوشمزه بود غذا هم ب موقع رسید و گرم بود,۵,فست فود لونالانژ,عالی غذا لذیذ #هست سس برام فرستاد#فرست خوشمزه غذا ب موقع گرم
1781,2023-04-19,ارسال عالی,۴,فست فود لونالانژ,ارسال عالی
1782,2022-07-01,من چندمین باره دارم سوخاری سفارش میدم و خیلی از مرغهای نرم و خوش طعمشون راضیم. و همیشه هم معلومه با روغن تازه درست میشه  ممنون ازشون,۵,فست فود لونالانژ,چندمین داشت#دار سوخاری سفارش میدم مرغ نرم خوش طعمشون راضیم معلومه روغن تازه درست میشه ممنون ازشون
1783,2022-08-18,"با اینکه ۲۰ دقیقه بعد از ثبت سفارش به دستم رسید ولی کاملا سرد بود
نونش هم تازه نبود و خشک بود",۳,فست فود لونالانژ,دقیقه ثبت سفارش دستم سرد نون تازه خشک
1784,2022-02-05,سفارش به موقع رسید غذا عالی بود حجم مناسبی داشت ,۵,فست فود لونالانژ,سفارش موقع غذا عالی حجم مناسب
1785,2022-03-08,بسته بندی عالی، غذا فوق العاده خوشمزه، تحویل بسیار عالی,۵,فست فود لونالانژ,بسته عالی غذا فوقالعاده خوشمزه تحویل عالی
1786,2022-03-13,خوب بود,۴,فست فود لونالانژ,خوب
1787,2022-02-10,خوب بود,۵,فست فود لونالانژ,خوب
1788,2022-01-12,برگر عالی ... پیتزا زیاد دوست نداشتم مرغ سوخاری هم عالی,۵,فست فود لونالانژ,برگر عالی پیتزا زیاد دوست داشت#دار مرغ سوخاری عالی
1789,2023-05-22,"یک دلستر کمتر ارسال ارسال شده بود
دفعه قبل هم ایستک بجای ایستک کلاسیک ،لیمویی فرستاده شد",۴,فست فود لونالانژ,دلستر کمتر ارسال ارسالشده دفعه ایستک بجا ایستک کلاسیک لیمو فرستادهشد
1790,2023-04-21,با سلام کیفیت خوبه . ولی قیمت همیشه افزایشی هست . قیمت رو بالا نبرین  اینقدر,۴,فست فود لونالانژ,سلام کیفیت خوبه قیمت افزایش هست قیمت بالا نبرین اینقدر
1791,2023-06-19,مرغ سوخاری مزه تخم مرغ میداد،افتضاح بود,۲,فست فود لونالانژ,مرغ سوخاری مزه تخممرغ میداد افتضاح
1792,2021-12-04,فوق العادست,۵,فست فود لونالانژ,العادست
1793,2022-12-23,خیلی خوب بود ممنون از ارسال سریع,۵,فست فود لونالانژ,خوب ممنون ارسال سریع
1794,2021-11-27,غذا خوشمزه اما کاملا سرد بود لطفا فکری به حال تحویل بکنیدد,۵,فست فود لونالانژ,غذا خوشمزه سرد لطفا فکر تحویل بکنیدد
1795,2022-04-04,برگرها و سالاد همگی بسیار عالی ، با کیفیت و خوش طعم بودن ، ممنون از شما بابت غذای خوبی که ارائه میدید,۵,فست فود لونالانژ,برگر سالاد همگی عالی کیفیت خوشطعم ممنون بابت غذا ارائه میدید
1796,2021-12-11,عالیییییییی,۵,فست فود لونالانژ,عالی
1797,2022-07-12,عالیییی بهترازین نمیشه .کیفیت درجه یک سوخاری,۵,فست فود لونالانژ,عالی بهترازین نمیشه کیفیت درجه سوخاری
1798,2022-07-12,"خوشمزه ترین سوخاری .
معرکه .ممنون از این همه کیفیت بالا",۵,فست فود لونالانژ,خوشمزه سوخاری معرکه ممنون کیفیت بالا
1799,2021-12-12,نسبت به اولین بار خوب نبود و پیتزا ی وری شده بود تو کارتن لطفا دقت کنید,۳,فست فود لونالانژ,نسبت خوب پیتزا وری شدهبود کارتن لطفا دقت
1800,2021-11-27,پپرونی ایتالیایی عالی بود، خمیرش خوب درست شده بود و خوردنش حس خوبی می داد. بسته بندی هم خوب و متناسب بود، در ضمن به موقع رسید. با سپاس,۵,فست فود لونالانژ,پپرونی ایتالیایی عالی خمیر خوب درست شدهبود خوردن حس میداد بسته خوب متناسب موقع سپاس
1801,2022-02-01,"تنها مشکل این بود ک همبرگر که سفارش داده بودم توش ننوشته بود ک سس داره ...

و اینکه سوخاری هاش مثل همیشه بزرگ نبود ...
نسبت به دفعه قبل فیله هاش کوچیک تر بود ",۴,فست فود لونالانژ,مشکل ک همبرگر سفارش دادهبودم تو ننوشتهبود ک سس داره سوخاری هاش نسبت دفعه فیله هاش کوچیکتر
1802,2022-04-01,بازم عرض میکنم عالی اگه نگین بهانه گیری میکنم برش پیتزا دقت کنین چون توقع ما از شما بالاست میگم جزئیات مهمن ممنون,۵,فست فود لونالانژ,باخت#باز عرض میکنم عالی اگه نگین بهانهگیری میکنم برش پیتزا دقت کنین توقع بالاست میگ جزئیات مهمن ممنون
1803,2022-06-30,پیتزا لونا خوب نبود,۳,فست فود لونالانژ,پیتزا لونا خوب
1804,2023-06-27,خوب بود، پیک هم زود رسید. ممنون,۵,فست فود لونالانژ,خوب پیک زود ممنون
1805,2022-08-06,کاملا متوسط بود,۳,فست فود لونالانژ,متوسط
1806,2021-12-05,"متأسفانه با وجود اینکه توی توضیحات نوشته بودم که سوخاری ها به هیچ عنوان تند نباشند، بال های سوخاری کاملا تند بودند و من چون حساسیت داشتم مجبور شدم دور بندازمشون
فیله های سوخاری خوب بودند
همراه هیچکدوم از سوخاری ها نان بروتچن نبود، در صورتی که توی خود منو نوشته که همراهش ارسال میشه
برگر واقعا خوشمزه و واقعا حجیم بود، اولین بار بود که بلاخره یه برگر خوشمزه خوردم توی سمنان، میتونم بگم عالی بود.
فقط ای کاش به توضیحات بیشتر دقت میکردند
تحویل سفارش هم خوب و به موقع بود",۴,فست فود لونالانژ,متأسفانه تو توضیحات نوشتهبودم سوخاری عنوان تند بود#باش بال سوخاری تند حساسیت داشت#دار مجبور شد#شو بندازمشون فیله سوخاری خوب همراه هیچکدوم سوخاری نان بروتچن صورت تو منو نوشته همراه ارسال میشه برگر واقعا خوشمزه واقعا حجیم بلاخره یه برگر خوشمزه خورد#خور تو سمنان میتونم بگم عالی فقطای کاش توضیحات دقت میکردند تحویل سفارش خوب موقع
1807,2023-07-14,غذا سرد بود دیر بدستم رسید,۲,فست فود لونالانژ,غذا سرد دیر بدستید#بدست
1808,2023-06-04,ساندویچ ش عالی مثل همیشه مخصوصا که با باگت اضافه بگیرید نون کنارش نیست ساندویچ تون رو‌ دو نونه می کنم واقعاً سیر میشه آدم. دمتون گرم. سس ملو و مواد داخل ساندویچ درجه یک و به اندازه.,۵,فست فود لونالانژ,ساندویچ ش عالی مخصوصا باگت اضافه گرفت#گیر نون کنار ساندویچ تون نونه میکنم واقعا سیر میشه آدم دمتون گرم سس ملو مواد داخل ساندویچ درجه اندازه
1809,2022-01-27,لونالانژ همینطوری خوب بمون ,۵,فست فود لونالانژ,لونالانژ همینطوری خوب بمون
1810,2022-03-18,عالللللییییی بهتر ازین نمیشه .کیفیت و طعم فوق العاده سس عالی .ممنون,۵,فست فود لونالانژ,عالی ازین نمیشه کیفیت طعم فوقالعاده سس عالی ممنون
1811,2022-07-18,خیلی خیلی شیک وخوشمزه,۵,فست فود لونالانژ,شیک وخوشمزه
1812,2021-11-16,با سلیقه و بسیار خوشمزه,۵,فست فود لونالانژ,سلیقه خوشمزه
1813,2023-06-09,خوب بود ساندویچ ش، راضی بودم,۴,فست فود لونالانژ,خوب ساندویچ ش راضی بود#باش
1814,2022-07-31,برش پیتزا بد بود،سیب زمینی خام بود و داهلش هنوز پخته نشده بود،نسبت به کیفیت قیمت بالایی داشت.,۲,فست فود لونالانژ,برش پیتزا بد سیبزمینی خام داهلش پختهنشدهبود نسبت کیفیت قیمت بالا
1815,2022-02-14,عالی بود امتخان کنید حتما ,۵,فست فود لونالانژ,عالی امتخان حتما
1816,2023-07-22,کیفیت وحجم غذا پایین بود اصلا جالب نبود,۲,فست فود لونالانژ,کیفیت وحجم غذا پایین اصلا جالب
1817,2022-05-24,خوشمزه بود. مرسی,۵,فست فود لونالانژ,خوشمزه مرسی
1818,2022-04-07,همه چی معمولی بود,۴,فست فود لونالانژ,چی معمولی
1819,2021-12-09,خیلی خیلی معمولی بود. راستش چون قبلا پیتزاهای چهارفصل خیلی خیلی بهتر و با کیفیت تر از این خورده بودم این اصلا برام جالب نبود. قسمت چیکنش هم خیلی مرغش کم بود ,۲,فست فود لونالانژ,معمولی راست قبلا پیتزا چهارفصل کیف خوردهبودم اصلا برام جالب قسمت چیکنش مرغ کم
