,date,comment,rate,resturant name,preprocessed comment
27,2023-10-01,فوق العاده بود عالی بود,۵,فست فود کلوا,فوقالعاده عالی
28,2023-09-22,"مضخرف بود
سیب زمینی ام یخ بود از ۱۰ دقیقه قبل اماده کرده بودن عرق کرده بود داغون شده",not rated,فست فود کلوا,مضخرف سیبزمینیام یخ دقیقه اماده عرق کردهبود داغون
29,2023-08-03,سرعت تحویل سفارش فوق العاده بالا بود ولی مرغ های سوخاری بوی بد میداد,۳,فست فود کلوا,سرعت تحویل سفارش فوقالعاده بالا مرغ سوخاری بو بد میداد
30,2023-09-10,یکم شور بود,۴,فست فود کلوا,یکم شور
31,2023-09-29,همه جوره خوب بود تشکر,۵,فست فود کلوا,جوره خوب تشکر
32,2023-09-28,پیتزا و پاستا جفتشون هم سرد و هم نپخته بودند,not rated,فست فود کلوا,پیتزا پاستا جفتشون سرد نپختهبودند
33,2023-09-07,پیتزا سیر و استیک عالی بود ، برگر هم ک نگم براتون ، من راضی بودم ، مرسی از تخفیف کلوا,۵,فست فود کلوا,پیتزا سیر استیک عالی برگر ک نگم براتون راضی بود#باش مرسی تخفیف کلوا
34,2023-09-06,خوب بود,۵,فست فود کلوا,خوب
35,2023-09-04,افتضاح کباب ترکی فوق العاده چرب و پر پیاز،سوخاری هم دارچین زده بودن!,not rated,فست فود کلوا,افتضاح کباب ترکی فوقالعاده چرب پیاز سوخاری دارچین زده
36,2023-08-28,عالی,۵,فست فود کلوا,عالی
37,2023-07-25,خیلی خوب بود فقط سس سزارتون رو لطفا عوض کنید .,۵,فست فود کلوا,خوب سس سزارتون لطفا عوض
38,2023-08-09,قیمت ها بالاست البته همه چی بالاست ولی کیفیت عالی ارسال پیک عالی قیمت ها .....,۵,فست فود کلوا,قیمت بالاست چی بالاست کیفیت عالی ارسال پیک عالی قیمت
39,2023-09-09,عالی راضی بودیم,۵,فست فود کلوا,عالی راضی بود#باش
40,2023-08-31,هم کیفیت بالا و تحویل هم بسیار سریع و زودتر از انتظار,۵,فست فود کلوا,کیفیت بالا تحویل سریع زود انتظار
41,2023-09-14,سیب زمینی مونده بود ...,۴,فست فود کلوا,سیبزمینی موندهبود
42,2023-09-27,بسیار عالی و درجه یک خدا به کسب و کارتون برکت بده,۵,فست فود کلوا,عالی درجه خدا کسب کارتون برکت بده
43,2023-08-13,ساندویچ ها خیلی بی کیفیت بود واقعا بد بود,not rated,فست فود کلوا,ساندویچ بیکیفیت واقعا بد
44,2023-08-30,هر ۴ نفرمون از کیفیت ناراضی بودیم خمیر زیر پیتزا خام و ترش مزه بود ... پیتزا رولیش هم پنیر پیتزا روش خوب گریل نشده بود و خام بود ...,not rated,فست فود کلوا,نفرمون کیفیت ناراضی بود#باش خمیر پیتزا خام ترشمزه پیتزا رول پنیر پیتزا خوب گریل نشدهبود خام
45,2023-09-10,مرغ سوراخیش اصلن به درد نمیخورد,۲,فست فود کلوا,مرغ سوراخ اصلن درد نمیخورد
46,2023-08-31,برگرها خوب نپخته بوده‌ اصلا,not rated,فست فود کلوا,برگر خوب نپخته اصلا
47,2023-09-03,قارچ سوخاریش رو اصلا نتونستم بخورم از بس شور و تند و بی کیفیت بود :/,not rated,فست فود کلوا,قارچ سوخاریش اصلا نتونستم خورد#خور بس شور تند بیکیفیت
48,2023-08-15,مقدار سیب زمینی خیلی کم شده. ولی طعم خود مرغ سوخاری خوب بود.,۴,فست فود کلوا,مقدار سیبزمینی کم طعم مرغ سوخاری خوب
49,2023-09-08,من مسافر بودم ممنونم از اسنپ واقعا عالی بود ممنونم از مجموعه کلوا,۵,فست فود کلوا,مسافر بود#باش ممنون اسنپ واقعا عالی ممنون مجموعه کلوا
50,2023-09-30,عالی,۵,فست فود کلوا,عالی
51,2023-09-04,"عالی 
خیلی خوشمزه",۵,فست فود کلوا,عالی خوشمزه
52,2023-10-06,مثل همیشه عالی,۵,فست فود کلوا,عالی
53,2023-08-08,مممنون از شما مثل همیشه عاااااالی,۵,فست فود کلوا,ممنون عالی
54,2023-08-27,ارسال سریع و غذا هم داغ و سالم و با کیفیت بود,۵,فست فود کلوا,ارسال سریع غذا داغ سالم کیفیت
55,2023-10-05,ممنون از مدیریت و پرسنل مجموعه کلوا، بعد مدتها سفارش زدم که واقعا عالی بود و بموقع رسید.,۵,فست فود کلوا,ممنون مدیریت پرسنل مجموعه کلوا مدت سفارش زد#زن واقعا عالی بموقع
56,2023-08-23,Ok,۵,فست فود کلوا,ok
57,2023-08-08,مثل همیشه عالی و خوشمزه. ممنون از کلوا,۵,فست فود کلوا,عالی خوشمزه ممنون کلوا
58,2023-09-17,نسبت به پول پرداختی غذا مناسب میگیرید اما نه اینکه کیفیت فوق العاده ای در کار باشه,۴,فست فود کلوا,نسبت پول پرداختی غذا میگیرید کیفیت فوقالعادهای کار باشه
59,2023-08-20,بسیار عالی ...سفارش خیلی زود رسید,۵,فست فود کلوا,عالی سفارش زود
60,2023-09-18,عالی,۵,فست فود کلوا,عالی
61,2023-09-13,خیلی زود رسید ممنونم,۵,فست فود کلوا,زود ممنون
62,2023-10-09,عالی مثل همیشه,۵,فست فود کلوا,عالی
63,2023-08-05,خوب,۴,فست فود کلوا,خوب
64,2023-08-23,ساندویچای کلوا رو دست نداره,۵,فست فود کلوا,ساندویچای کلوا دست نداره
65,2023-08-06,"با سلام و خسته نباشید
غذاها گرم ‌خیلی سریع به دستمون رسید.به توضیحات هم توجه شده بود.خیلی عالی بود",۵,فست فود کلوا,سلام خسته بود#باش غذا گرم سریع دستمون توضیحات توجه شدهبود عالی
66,2023-08-13,غذا بسیار زودتر از زمان مشخص شده و گرم به دستم رسید. کیفیت پیتزا نسبت به قبل کمی افت کرده، سس سیر فراموش شده بود.,۴,فست فود کلوا,غذا زود زمان مشخصشده گرم دستم کیفیت پیتزا نسبت افت سس سیر فراموششده
67,2023-09-19,"برای بار دوم، هم کیفیت خوب، هم سریع رسيدن قبل از وقت مقرر، هم مقدار و اندازه مناسب.
پیشنهاد میکنم حتما امتحان کنید",۵,فست فود کلوا,کیفیت خوب سریع وقت مقرر مقدار اندازه پیشنهاد میکنم حتما امتحان
68,2023-09-11,غذا خیلی سریع به دستم رسید . خیلی خوب بود,۴,فست فود کلوا,غذا سریع دستم خوب
69,2023-09-20,عالی بود بدون استخون,۵,فست فود کلوا,عالی استخون
